Item,Beginning,End ,P-value
Number of OTU's,1587.10,1731.78,0.14
Chao1,2366.44,2574.85,0.07
Evenness ,0.676,0.733,0.100
Faith's PD,92.10,97.55,0.210
Shannon Index ,7.19,7.89,0.100
,,,
,,,
,,,
,,,
,,,
,,,
,,,
